reference,text,chapter,verse,emotion_tag
Bhagavad Gita 1.1,"The first chapter of the Bhagavad Gita - ""Arjuna Vishada Yoga"" introduces the setup, the setting, the characters and the circumstances that led to the epic battle of Mahabharata, fought between the Pandavas and the Kauravas",1,1,anger/conflict
Bhagavad Gita 1.2,It outlines the reasons that led to the revelation of the of Bhagavad Gita,1,2,general guidance
Bhagavad Gita 1.3,"As both armies stand ready for the battle, the mighty warrior Arjuna, on observing the warriors on both sides becomes increasingly sad and depressed due to the fear of losing his relatives and friends and the consequent sins attributed to killing his own relatives",1,3,sadness
Bhagavad Gita 1.4,"So, he surrenders to Lord Krishna, seeking a solution",1,4,devotion
Bhagavad Gita 1.5,"Thus, follows the wisdom of the Bhagavad Gita",1,5,general guidance
Bhagavad Gita 2.1,"The second chapter of the Bhagavad Gita is ""Sankhya Yoga""",2,1,general guidance
Bhagavad Gita 2.2,This is the most important chapter of the Bhagavad Gita as Lord Krishna condenses the teachings of the entire Gita in this chapter,2,2,devotion
Bhagavad Gita 2.3,This chapter is the essence of the entire Gita,2,3,general guidance
Bhagavad Gita 2.4,"""Sankhya Yoga"" can be categorized into 4 main topics -",2,4,general guidance
Bhagavad Gita 2.6,Arjuna completely surrenders himself to Lord Krishna and accepts his position as a disciple and Krishna as his Guru,2,6,devotion
Bhagavad Gita 2.7,He requests Krishna to guide him on how to dismiss his sorrow,2,7,sadness
Bhagavad Gita 2.9,"Explanation of the main cause of all grief, which is ignorance of the true nature of Self",2,9,sadness
Bhagavad Gita 2.11,Karma Yoga - the discipline of selfless action without being attached to its fruits,2,11,anxiety/guidance
Bhagavad Gita 2.13,Description of a Perfect Man - One whose mind is steady and one-pointed,2,13,general guidance
Bhagavad Gita 3.1,"The third chapter of the Bhagavad Gita is ""Karma Yoga"" or the ""Path of Selfless Service""",3,1,anxiety/guidance
Bhagavad Gita 3.2,Here Lord Krishna emphasizes the importance of karma in life,3,2,anxiety/guidance
Bhagavad Gita 3.3,He reveals that it is important for every human being to engage in some sort of activity in this material world,3,3,general guidance
Bhagavad Gita 3.4,"Further, he describes the kinds of actions that lead to bondage and the kinds that lead to liberation",3,4,anxiety/guidance
Bhagavad Gita 3.5,"Those persons who continue to perform their respective duties externally for the pleasure of the Supreme, without attachment to its rewards get liberation at the end",3,5,anger/conflict
Bhagavad Gita 4.1,"The fourth chapter of the Bhagavad Gita is ""Jnana Karma Sanyasa Yoga""",4,1,anxiety/guidance
Bhagavad Gita 4.2,"In this chapter, Krishna glorifies the Karma Yoga and imparts the Transcendental Knowledge (the knowledge of the soul and the Ultimate Truth) to Arjuna",4,2,anxiety/guidance
Bhagavad Gita 4.3,He reveals the reason behind his appearance in this material world,4,3,general guidance
Bhagavad Gita 4.4,"He reveals that even though he is eternal, he reincarnates time after time to re-establish dharma and peace on this Earth",4,4,general guidance
Bhagavad Gita 4.5,His births and activities are eternal and are never contaminated by material flaws,4,5,general guidance
Bhagavad Gita 4.6,Those persons who know and understand this Truth engage in his devotion with full faith and eventually attain Him,4,6,confusion/knowledge
Bhagavad Gita 4.7,They do not have to take birth in this world again,4,7,general guidance
Bhagavad Gita 5.1,"The fifth chapter of the Bhagavad Gita is ""Karma Sanyasa Yoga""",5,1,anxiety/guidance
Bhagavad Gita 5.2,"In this chapter, Krishna compares the paths of renunciation in actions (Karma Sanyas) and actions with detachment (Karma Yoga) and explains that both are means to reach the same goal and we can choose either",5,2,anxiety/guidance
Bhagavad Gita 5.3,A wise person should perform his/her worldly duties without attachment to the fruits of his/her actions and dedicate them to God,5,3,anxiety/guidance
Bhagavad Gita 5.4,This way they remain unaffected by sin and eventually attain liberation,5,4,general guidance
Bhagavad Gita 6.1,"The sixth chapter of the Bhagavad Gita is ""Dhyana Yoga""",6,1,general guidance
Bhagavad Gita 6.2,"In this chapter, Krishna reveals the ""Yoga of Meditation"" and how to practise this Yoga",6,2,general guidance
Bhagavad Gita 6.3,"He discusses the role of action in preparing for Meditation, how performing duties in devotion purifies one's mind and heightens one's spiritual consciousness",6,3,anxiety/guidance
Bhagavad Gita 6.4,He explains in detail the obstacles that one faces when trying to control their mind and the exact methods by which one can conquer their mind,6,4,general guidance
Bhagavad Gita 6.5,He reveals how one can focus their mind on Paramatma and unite with the God,6,5,devotion
Bhagavad Gita 7.1,"The seventh chapter of the Bhagavad Gita is ""Gyaan Vigyana Yoga """,7,1,general guidance
Bhagavad Gita 7.2,"In this chapter, Krishna reveals that he is the Supreme Truth, the principal cause and the sustaining force of everything",7,2,confusion/knowledge
Bhagavad Gita 7.3,"He reveals his illusionary energy in this material world called Maya, which is very difficult to overcome but those who surrender their minds unto Him attain Him easily",7,3,general guidance
Bhagavad Gita 7.4,He also describes the four types of people who surrender to Him in devotion and the four kinds that don't,7,4,devotion
Bhagavad Gita 7.5,Krishna confirms that He is the Ultimate Reality and those who realize this Truth reach the pinnacle of spiritual realization and unite with the Lord,7,5,confusion/knowledge
Bhagavad Gita 8.1,"The eighth chapter of the Bhagavad Gita is ""Akshara Brahma Yoga""",8,1,general guidance
Bhagavad Gita 8.2,"In this chapter, Krishna reveals the importance of the last thought before death",8,2,general guidance
Bhagavad Gita 8.3,"If we can remember Krishna at the time of death, we will certainly attain him",8,3,general guidance
Bhagavad Gita 8.4,"Thus, it is very important to be in constant awareness of the Lord at all times, thinking of Him and chanting His names at all times",8,4,anger/conflict
Bhagavad Gita 8.5,"By perfectly absorbing their mind in Him through constant devotion, one can go beyond this material existence to Lord's Supreme abode",8,5,devotion
Bhagavad Gita 9.1,"The ninth chapter of the Bhagavad Gita is ""Raja Vidya Yoga""",9,1,general guidance
Bhagavad Gita 9.2,"In this chapter, Krishna explains that He is Supreme and how this material existence is created, maintained and destroyed by His Yogmaya and all beings come and go under his supervision",9,2,general guidance
Bhagavad Gita 9.3,He reveals the Role and the Importance of Bhakti (transcendental devotional service) towards our Spiritual Awakening,9,3,anger/conflict
Bhagavad Gita 9.4,"In such devotion, one must live for the God, offer everything that he possesses to Him and do everything for Him only",9,4,devotion
Bhagavad Gita 9.5,One who follows such devotion becomes free from the bonds of this material world and unites with the Lord,9,5,devotion
Bhagavad Gita 10.1,"The tenth chapter of the Bhagavad Gita is ""Vibhooti Yoga""",10,1,general guidance
Bhagavad Gita 10.2,"In this chapter, Krishna reveals Himself as the cause of all causes",10,2,general guidance
Bhagavad Gita 10.3,He describes His various manifestations and opulences in order to increase Arjuna's Bhakti,10,3,general guidance
Bhagavad Gita 10.4,Arjuna is fully convinced of Lord's paramount position and proclaims him to be the Supreme Personality,10,4,devotion
Bhagavad Gita 10.5,He prays to Krishna to describe more of His divine glories which are like nectar to hear,10,5,general guidance
Bhagavad Gita 11.1,"The eleventh chapter of the Bhagavad Gita is ""Vishwaroopa Darshana Yoga""",11,1,anger/conflict
Bhagavad Gita 11.2,"In this chapter, Arjuna requests Krishna to reveal His Universal Cosmic Form that encompasses all the universes, the entire existence",11,2,general guidance
Bhagavad Gita 11.3,Arjuna is granted divine vision to be able to see the entirety of creation in the body of the Supreme Lord Krishna,11,3,devotion
Bhagavad Gita 12.1,"The twelfth chapter of the Bhagavad Gita is ""Bhakti Yoga""",12,1,general guidance
Bhagavad Gita 12.2,"In this chapter, Krishna emphasizes the superiority of Bhakti Yoga (the path of devotion) over all other types of spiritual disciplines and reveals various aspects of devotion",12,2,devotion
Bhagavad Gita 12.3,"He further explains that the devotees who perform pure devotional service to Him, with their consciousness, merged in Him and all their actions dedicated to Him, are quickly liberated from the cycle of life and death",12,3,anxiety/guidance
Bhagavad Gita 12.4,He also describes the various qualities of the devotees who are very dear to Him,12,4,general guidance
Bhagavad Gita 13.1,"The thirteenth chapter of the Bhagavad Gita is ""Ksetra Ksetrajna Vibhaaga Yoga""",13,1,general guidance
Bhagavad Gita 13.2,"The word ""kshetra"" means ""the field"", and the ""kshetrajna"" means ""the knower of the field""",13,2,general guidance
Bhagavad Gita 13.3,We can think of our material body as the field and our immortal soul as the knower of the field,13,3,confusion/knowledge
Bhagavad Gita 13.4,"In this chapter, Krishna discriminates between the physical body and the immortal soul",13,4,confusion/knowledge
Bhagavad Gita 13.5,He explains that the physical body is temporary and perishable whereas the soul is permanent and eternal,13,5,confusion/knowledge
Bhagavad Gita 13.6,The physical body can be destroyed but the soul can never be destroyed,13,6,confusion/knowledge
Bhagavad Gita 13.7,"The chapter then describes God, who is the Supreme Soul",13,7,confusion/knowledge
Bhagavad Gita 13.8,All the individual souls have originated from the Supreme Soul,13,8,confusion/knowledge
Bhagavad Gita 13.9,"One who clearly understands the difference between the body, the Soul and the Supreme Soul attains the realization of Brahman",13,9,confusion/knowledge
Bhagavad Gita 14.1,"The fourteenth chapter of the Bhagavad Gita is ""Gunatraya Vibhaga Yoga""",14,1,general guidance
Bhagavad Gita 14.2,"In this chapter, Krishna reveals the three gunas (modes) of the material nature - goodness, passion and ignorance which everything in the material existence is influenced by",14,2,general guidance
Bhagavad Gita 14.3,"He further explains the essential characteristics of each of these modes, their cause and how they influence a living entity affected by them",14,3,general guidance
Bhagavad Gita 14.4,He then reveals the various characteristics of the persons who have gone beyond these gunas,14,4,general guidance
Bhagavad Gita 14.5,The chapter ends with Krishna reminding us of the power of pure devotion to God and how attachment to God can help us transcend these gunas,14,5,devotion
Bhagavad Gita 15.1,"The fifteenth chapter of the Bhagavad Gita is ""Purushottama Yoga""",15,1,general guidance
Bhagavad Gita 15.2,"In Sanskrit, Purusha means the ""All-pervading God"", and Purushottam means the timeless & transcendental aspect of God",15,2,devotion
Bhagavad Gita 15.3,"Krishna reveals that the purpose of this Transcendental knowledge of the God is to detach ourselves from the bondage of the material world and to understand Krishna as the Supreme Divine Personality, who is the eternal controller and sustainer of the world",15,3,confusion/knowledge
Bhagavad Gita 15.4,One who understands this Ultimate Truth surrenders to Him and engages in His devotional service,15,4,confusion/knowledge
Bhagavad Gita 16.1,"The sixteenth chapter of the Bhagavad Gita is ""Daivasura Sampad Vibhaga Yoga""",16,1,general guidance
Bhagavad Gita 16.2,"In this chapter, Krishna describes explicitly the two kinds of natures among human beings - divine and demoniac",16,2,general guidance
Bhagavad Gita 16.3,Those who possess demonaic qualities associate themselves with the modes of passion and ignorance do not follow the regulations of the scriptures and embrace materialistic views,16,3,general guidance
Bhagavad Gita 16.4,These people attain lower births and further material bondage,16,4,general guidance
Bhagavad Gita 16.5,"But people who possess divine qualities, follow the instructions of the scriptures, associate themselves with the mode of goodness and purify the mind through spiritual practices",16,5,general guidance
Bhagavad Gita 16.6,This leads to the enhancement of divine qualities and they eventually attain spiritual realization,16,6,general guidance
Bhagavad Gita 17.1,"The seventeenth chapter of the Bhagavad Gita is ""Sraddhatraya Vibhaga Yoga""",17,1,general guidance
Bhagavad Gita 17.2,"In this chapter, Krishna describes the three types of faith corresponding to the three modes of the material nature",17,2,general guidance
Bhagavad Gita 17.3,Lord Krishna further reveals that it is the nature of faith that determines the quality of life and the character of living entities,17,3,devotion
Bhagavad Gita 17.4,"Those who have faith in passion and ignorance perform actions that yield temporary, material results while those who have faith in goodness perform actions in accordance with scriptural instructions and hence their hearts get further purified",17,4,anxiety/guidance
Bhagavad Gita 18.1,"The eighteenth chapter of the Bhagavad Gita is ""Moksha Sanyas Yoga""",18,1,general guidance
Bhagavad Gita 18.2,Arjuna requests the Lord to explain the difference between the two types of renunciations - sanyaas(renunciation of actions) and tyaag(renunciation of desires),18,2,anxiety/guidance
Bhagavad Gita 18.3,Krishna explains that a sanyaasi is one who abandons family and society in order to practise spiritual discipline whereas a tyaagi is one who performs their duties without attachment to the rewards of their actions and dedicating them to the God,18,3,anger/conflict
Bhagavad Gita 18.4,Krishna recommends the second kind of renunciation - tyaag,18,4,general guidance
Bhagavad Gita 18.5,Krishna then gives a detailed analysis of the effects of the three modes of material nature,18,5,general guidance
Bhagavad Gita 18.6,"He declares that the highest path of spirituality is pure, unconditional loving service unto the Supreme Divine Personality, Krishna",18,6,general guidance
Bhagavad Gita 18.7,"If we always remember Him, keep chanting His name and dedicate all our actions unto Him, take refuge in Him and make Him our Supreme goal, then by His grace, we will surely overcome all obstacles and difficulties and be freed from this cycle of birth and death",18,7,anxiety/guidance
Bhagavad Gita 1.1,"The first chapter of the Bhagavad Gita - ""Arjuna Vishada Yoga"" introduces the setup, the setting, the characters and the circumstances that led to the epic battle of Mahabharata, fought between the Pandavas and the Kauravas",1,1,anger/conflict
Bhagavad Gita 1.2,It outlines the reasons that led to the revelation of the of Bhagavad Gita,1,2,general guidance
Bhagavad Gita 1.3,"As both armies stand ready for the battle, the mighty warrior Arjuna, on observing the warriors on both sides becomes increasingly sad and depressed due to the fear of losing his relatives and friends and the consequent sins attributed to killing his own relatives",1,3,sadness
Bhagavad Gita 1.4,"So, he surrenders to Lord Krishna, seeking a solution",1,4,devotion
Bhagavad Gita 1.5,"Thus, follows the wisdom of the Bhagavad Gita",1,5,general guidance
Bhagavad Gita 2.1,"The second chapter of the Bhagavad Gita is ""Sankhya Yoga""",2,1,general guidance
Bhagavad Gita 2.2,This is the most important chapter of the Bhagavad Gita as Lord Krishna condenses the teachings of the entire Gita in this chapter,2,2,devotion
Bhagavad Gita 2.3,This chapter is the essence of the entire Gita,2,3,general guidance
Bhagavad Gita 2.4,"""Sankhya Yoga"" can be categorized into 4 main topics -",2,4,general guidance
Bhagavad Gita 2.6,Arjuna completely surrenders himself to Lord Krishna and accepts his position as a disciple and Krishna as his Guru,2,6,devotion
Bhagavad Gita 2.7,He requests Krishna to guide him on how to dismiss his sorrow,2,7,sadness
Bhagavad Gita 2.9,"Explanation of the main cause of all grief, which is ignorance of the true nature of Self",2,9,sadness
Bhagavad Gita 2.11,Karma Yoga - the discipline of selfless action without being attached to its fruits,2,11,anxiety/guidance
Bhagavad Gita 2.13,Description of a Perfect Man - One whose mind is steady and one-pointed,2,13,general guidance
Bhagavad Gita 3.1,"The third chapter of the Bhagavad Gita is ""Karma Yoga"" or the ""Path of Selfless Service""",3,1,anxiety/guidance
Bhagavad Gita 3.2,Here Lord Krishna emphasizes the importance of karma in life,3,2,anxiety/guidance
Bhagavad Gita 3.3,He reveals that it is important for every human being to engage in some sort of activity in this material world,3,3,general guidance
Bhagavad Gita 3.4,"Further, he describes the kinds of actions that lead to bondage and the kinds that lead to liberation",3,4,anxiety/guidance
Bhagavad Gita 3.5,"Those persons who continue to perform their respective duties externally for the pleasure of the Supreme, without attachment to its rewards get liberation at the end",3,5,anger/conflict
Bhagavad Gita 4.1,"The fourth chapter of the Bhagavad Gita is ""Jnana Karma Sanyasa Yoga""",4,1,anxiety/guidance
Bhagavad Gita 4.2,"In this chapter, Krishna glorifies the Karma Yoga and imparts the Transcendental Knowledge (the knowledge of the soul and the Ultimate Truth) to Arjuna",4,2,anxiety/guidance
Bhagavad Gita 4.3,He reveals the reason behind his appearance in this material world,4,3,general guidance
Bhagavad Gita 4.4,"He reveals that even though he is eternal, he reincarnates time after time to re-establish dharma and peace on this Earth",4,4,general guidance
Bhagavad Gita 4.5,His births and activities are eternal and are never contaminated by material flaws,4,5,general guidance
Bhagavad Gita 4.6,Those persons who know and understand this Truth engage in his devotion with full faith and eventually attain Him,4,6,confusion/knowledge
Bhagavad Gita 4.7,They do not have to take birth in this world again,4,7,general guidance
Bhagavad Gita 5.1,"The fifth chapter of the Bhagavad Gita is ""Karma Sanyasa Yoga""",5,1,anxiety/guidance
Bhagavad Gita 5.2,"In this chapter, Krishna compares the paths of renunciation in actions (Karma Sanyas) and actions with detachment (Karma Yoga) and explains that both are means to reach the same goal and we can choose either",5,2,anxiety/guidance
Bhagavad Gita 5.3,A wise person should perform his/her worldly duties without attachment to the fruits of his/her actions and dedicate them to God,5,3,anxiety/guidance
Bhagavad Gita 5.4,This way they remain unaffected by sin and eventually attain liberation,5,4,general guidance
Bhagavad Gita 6.1,"The sixth chapter of the Bhagavad Gita is ""Dhyana Yoga""",6,1,general guidance
Bhagavad Gita 6.2,"In this chapter, Krishna reveals the ""Yoga of Meditation"" and how to practise this Yoga",6,2,general guidance
Bhagavad Gita 6.3,"He discusses the role of action in preparing for Meditation, how performing duties in devotion purifies one's mind and heightens one's spiritual consciousness",6,3,anxiety/guidance
Bhagavad Gita 6.4,He explains in detail the obstacles that one faces when trying to control their mind and the exact methods by which one can conquer their mind,6,4,general guidance
Bhagavad Gita 6.5,He reveals how one can focus their mind on Paramatma and unite with the God,6,5,devotion
Bhagavad Gita 7.1,"The seventh chapter of the Bhagavad Gita is ""Gyaan Vigyana Yoga """,7,1,general guidance
Bhagavad Gita 7.2,"In this chapter, Krishna reveals that he is the Supreme Truth, the principal cause and the sustaining force of everything",7,2,confusion/knowledge
Bhagavad Gita 7.3,"He reveals his illusionary energy in this material world called Maya, which is very difficult to overcome but those who surrender their minds unto Him attain Him easily",7,3,general guidance
Bhagavad Gita 7.4,He also describes the four types of people who surrender to Him in devotion and the four kinds that don't,7,4,devotion
Bhagavad Gita 7.5,Krishna confirms that He is the Ultimate Reality and those who realize this Truth reach the pinnacle of spiritual realization and unite with the Lord,7,5,confusion/knowledge
Bhagavad Gita 8.1,"The eighth chapter of the Bhagavad Gita is ""Akshara Brahma Yoga""",8,1,general guidance
Bhagavad Gita 8.2,"In this chapter, Krishna reveals the importance of the last thought before death",8,2,general guidance
Bhagavad Gita 8.3,"If we can remember Krishna at the time of death, we will certainly attain him",8,3,general guidance
Bhagavad Gita 8.4,"Thus, it is very important to be in constant awareness of the Lord at all times, thinking of Him and chanting His names at all times",8,4,anger/conflict
Bhagavad Gita 8.5,"By perfectly absorbing their mind in Him through constant devotion, one can go beyond this material existence to Lord's Supreme abode",8,5,devotion
Bhagavad Gita 9.1,"The ninth chapter of the Bhagavad Gita is ""Raja Vidya Yoga""",9,1,general guidance
Bhagavad Gita 9.2,"In this chapter, Krishna explains that He is Supreme and how this material existence is created, maintained and destroyed by His Yogmaya and all beings come and go under his supervision",9,2,general guidance
Bhagavad Gita 9.3,He reveals the Role and the Importance of Bhakti (transcendental devotional service) towards our Spiritual Awakening,9,3,anger/conflict
Bhagavad Gita 9.4,"In such devotion, one must live for the God, offer everything that he possesses to Him and do everything for Him only",9,4,devotion
Bhagavad Gita 9.5,One who follows such devotion becomes free from the bonds of this material world and unites with the Lord,9,5,devotion
Bhagavad Gita 10.1,"The tenth chapter of the Bhagavad Gita is ""Vibhooti Yoga""",10,1,general guidance
Bhagavad Gita 10.2,"In this chapter, Krishna reveals Himself as the cause of all causes",10,2,general guidance
Bhagavad Gita 10.3,He describes His various manifestations and opulences in order to increase Arjuna's Bhakti,10,3,general guidance
Bhagavad Gita 10.4,Arjuna is fully convinced of Lord's paramount position and proclaims him to be the Supreme Personality,10,4,devotion
Bhagavad Gita 10.5,He prays to Krishna to describe more of His divine glories which are like nectar to hear,10,5,general guidance
Bhagavad Gita 11.1,"The eleventh chapter of the Bhagavad Gita is ""Vishwaroopa Darshana Yoga""",11,1,anger/conflict
Bhagavad Gita 11.2,"In this chapter, Arjuna requests Krishna to reveal His Universal Cosmic Form that encompasses all the universes, the entire existence",11,2,general guidance
Bhagavad Gita 11.3,Arjuna is granted divine vision to be able to see the entirety of creation in the body of the Supreme Lord Krishna,11,3,devotion
Bhagavad Gita 12.1,"The twelfth chapter of the Bhagavad Gita is ""Bhakti Yoga""",12,1,general guidance
Bhagavad Gita 12.2,"In this chapter, Krishna emphasizes the superiority of Bhakti Yoga (the path of devotion) over all other types of spiritual disciplines and reveals various aspects of devotion",12,2,devotion
Bhagavad Gita 12.3,"He further explains that the devotees who perform pure devotional service to Him, with their consciousness, merged in Him and all their actions dedicated to Him, are quickly liberated from the cycle of life and death",12,3,anxiety/guidance
Bhagavad Gita 12.4,He also describes the various qualities of the devotees who are very dear to Him,12,4,general guidance
Bhagavad Gita 13.1,"The thirteenth chapter of the Bhagavad Gita is ""Ksetra Ksetrajna Vibhaaga Yoga""",13,1,general guidance
Bhagavad Gita 13.2,"The word ""kshetra"" means ""the field"", and the ""kshetrajna"" means ""the knower of the field""",13,2,general guidance
Bhagavad Gita 13.3,We can think of our material body as the field and our immortal soul as the knower of the field,13,3,confusion/knowledge
Bhagavad Gita 13.4,"In this chapter, Krishna discriminates between the physical body and the immortal soul",13,4,confusion/knowledge
Bhagavad Gita 13.5,He explains that the physical body is temporary and perishable whereas the soul is permanent and eternal,13,5,confusion/knowledge
Bhagavad Gita 13.6,The physical body can be destroyed but the soul can never be destroyed,13,6,confusion/knowledge
Bhagavad Gita 13.7,"The chapter then describes God, who is the Supreme Soul",13,7,confusion/knowledge
Bhagavad Gita 13.8,All the individual souls have originated from the Supreme Soul,13,8,confusion/knowledge
Bhagavad Gita 13.9,"One who clearly understands the difference between the body, the Soul and the Supreme Soul attains the realization of Brahman",13,9,confusion/knowledge
Bhagavad Gita 14.1,"The fourteenth chapter of the Bhagavad Gita is ""Gunatraya Vibhaga Yoga""",14,1,general guidance
Bhagavad Gita 14.2,"In this chapter, Krishna reveals the three gunas (modes) of the material nature - goodness, passion and ignorance which everything in the material existence is influenced by",14,2,general guidance
Bhagavad Gita 14.3,"He further explains the essential characteristics of each of these modes, their cause and how they influence a living entity affected by them",14,3,general guidance
Bhagavad Gita 14.4,He then reveals the various characteristics of the persons who have gone beyond these gunas,14,4,general guidance
Bhagavad Gita 14.5,The chapter ends with Krishna reminding us of the power of pure devotion to God and how attachment to God can help us transcend these gunas,14,5,devotion
Bhagavad Gita 15.1,"The fifteenth chapter of the Bhagavad Gita is ""Purushottama Yoga""",15,1,general guidance
Bhagavad Gita 15.2,"In Sanskrit, Purusha means the ""All-pervading God"", and Purushottam means the timeless & transcendental aspect of God",15,2,devotion
Bhagavad Gita 15.3,"Krishna reveals that the purpose of this Transcendental knowledge of the God is to detach ourselves from the bondage of the material world and to understand Krishna as the Supreme Divine Personality, who is the eternal controller and sustainer of the world",15,3,confusion/knowledge
Bhagavad Gita 15.4,One who understands this Ultimate Truth surrenders to Him and engages in His devotional service,15,4,confusion/knowledge
Bhagavad Gita 16.1,"The sixteenth chapter of the Bhagavad Gita is ""Daivasura Sampad Vibhaga Yoga""",16,1,general guidance
Bhagavad Gita 16.2,"In this chapter, Krishna describes explicitly the two kinds of natures among human beings - divine and demoniac",16,2,general guidance
Bhagavad Gita 16.3,Those who possess demonaic qualities associate themselves with the modes of passion and ignorance do not follow the regulations of the scriptures and embrace materialistic views,16,3,general guidance
Bhagavad Gita 16.4,These people attain lower births and further material bondage,16,4,general guidance
Bhagavad Gita 16.5,"But people who possess divine qualities, follow the instructions of the scriptures, associate themselves with the mode of goodness and purify the mind through spiritual practices",16,5,general guidance
Bhagavad Gita 16.6,This leads to the enhancement of divine qualities and they eventually attain spiritual realization,16,6,general guidance
Bhagavad Gita 17.1,"The seventeenth chapter of the Bhagavad Gita is ""Sraddhatraya Vibhaga Yoga""",17,1,general guidance
Bhagavad Gita 17.2,"In this chapter, Krishna describes the three types of faith corresponding to the three modes of the material nature",17,2,general guidance
Bhagavad Gita 17.3,Lord Krishna further reveals that it is the nature of faith that determines the quality of life and the character of living entities,17,3,devotion
Bhagavad Gita 17.4,"Those who have faith in passion and ignorance perform actions that yield temporary, material results while those who have faith in goodness perform actions in accordance with scriptural instructions and hence their hearts get further purified",17,4,anxiety/guidance
Bhagavad Gita 18.1,"The eighteenth chapter of the Bhagavad Gita is ""Moksha Sanyas Yoga""",18,1,general guidance
Bhagavad Gita 18.2,Arjuna requests the Lord to explain the difference between the two types of renunciations - sanyaas(renunciation of actions) and tyaag(renunciation of desires),18,2,anxiety/guidance
Bhagavad Gita 18.3,Krishna explains that a sanyaasi is one who abandons family and society in order to practise spiritual discipline whereas a tyaagi is one who performs their duties without attachment to the rewards of their actions and dedicating them to the God,18,3,anger/conflict
Bhagavad Gita 18.4,Krishna recommends the second kind of renunciation - tyaag,18,4,general guidance
Bhagavad Gita 18.5,Krishna then gives a detailed analysis of the effects of the three modes of material nature,18,5,general guidance
